ID,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
4618,16.06,24.35,4.57,13.13,16.2,21.28,0.94,3.12,,,1.07,
4619,16.97,15.69,3.07,10.57,12.6,13.92,0.83,2.6,,,1.06,
4620,19.66,36.84,6.47,16.37,20.87,24.04,1.35,2.83,4.09,1.18,2.17,
4621,20.35,33.97,7.76,20.64,24.75,26.98,1.36,2.59,7.77,1.02,1.9,
4622,34.39,36.29,8.38,28.8,32.28,32.75,2.48,3.76,14.63,1.32,3.17,
4623,43.91,43.65,11.74,29.33,32.78,55.4,1.52,3.44,14.8,1.53,3.59,
4624,44.14,112.78,7.05,26.64,27.06,32.33,2.18,4.3,25.57,1.69,3.36,
4625,44.94,114.34,8.47,28.1,29.37,32.75,2.3,4.7,29.1,1.56,2.38,
4626,29.35,75.79,5.72,21.21,21.4,19.08,1.55,4.55,29.03,1.01,1.15,
4627,15.34,53.7,8.46,22.22,24.6,21.4,1.13,4.45,8.84,1.11,2.53,
4628,14.18,55.71,12.9,25.86,27.06,21.81,1.63,5.14,9.89,0.97,2.15,
4629,13.36,33.82,8.24,24.04,17.46,22,1.7,11.07,8.15,0.73,1.66,
4630,19.86,72.72,11.73,33.56,26.85,37.08,1.47,8.32,9.51,0.98,2.6,
4631,28.35,102.15,13.06,32.95,24.78,52.45,2.03,6.08,21.38,1,3.46,
4632,25.04,89.26,9.79,33.02,22.96,51.77,1.72,5.43,26.44,0.77,1.47,
4633,29.12,,2.8,25.17,13.66,41.62,,3.1,43.98,0.71,1.17,
4634,41.16,85.25,10.04,34.42,23.91,46.07,1.88,5.24,27.26,0.88,1.7,
4635,46.33,82.86,17.24,44.41,34.36,45.43,1.81,5.81,19.1,1.01,1.92,
4636,48.01,78.58,16.65,39.78,31.61,46.15,1.84,4.86,6.32,1.16,1.49,
4637,35.48,58.04,25.04,35.58,35.53,51.46,1.92,5.27,3.36,0.99,1.46,
4638,32.95,79.07,23.41,41.05,36.25,26.38,2.07,5.94,2.3,1.43,1.63,
4639,50.19,73.43,18.73,57.62,31.41,20.93,1.78,5.34,2.33,1.29,1.39,
4640,34.57,64.09,15.68,42.88,37.39,12.64,1.68,4.79,2.16,0.91,1.07,
4641,52.06,56.71,13.51,27.66,21.45,11.98,1.33,4.38,1.87,1.29,1.6,
